degree_name,Type,Institute,Faculty
Postgraduate Diploma in Public Administration,Postgraduate,University of Colombo,Faculty of Graduate Studies
Bachelor of Laws,Undergraduate,University of Colombo,Faculty of Law
Bachelor of Business Administration (Special),Undergraduate,University of Colombo,Faculty of Management and Finance
Bachelor of Business Administration (Speci,Undergraduate,University of Colombo,Faculty of Management and Finance
Bachelor of Business Administration (Special),Undergraduate,University of Colombo,Faculty of Management and Finance
Bachelor of Business Administration (Special),Undergraduate,University of Colombo,Faculty of Management and Finance
Bachelor of Business Administration (Special),Undergraduate,University of Colombo,Faculty of Management and Finance
Bachelor of Business Administration (Special),Undergraduate,University of Colombo,Faculty of Management and Finance
Bachelor of Science (General),Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Bioinfomatics,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Chemical Biology,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Chemistry,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Computational Chemistry,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Computational Physics,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Engineering Physics,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Environment Sciences,Undergraduate,University of Colombo,Faculty of Science
"Bachelor of Science (Special) in Finance, Business and Computational Mathematics",Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Financial and Business Mathematics,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (General) in Industrial Statistics & Mathematical Finance,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Mathematics,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Mathematics and Statistics with Compuer Science,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Molecular Biology & Biochemistry,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Nuclear Medical Science,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Pharmacy,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Physics,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Plant Biotechnology,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Plant Science,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Statistics,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Statistics with Computer Science,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Science (Special) in Zoology,Undergraduate,University of Colombo,Faculty of Science
Bachelor of Arts (General),Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Arabic,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Archaeology,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Buddhist Studies,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Economics,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in English,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Fine Arts,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Geography,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in History,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Islamic Civilization,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Pali,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Philosophy,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Political Science,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Psychology,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Sanskrit,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Sinhala,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Sociology,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Tamil,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Arts (Special) in Western Classic Culture,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Business Administration (Special) in Financial Management,Undergraduate,University of Peradeniya,Faculty of Arts
